iter	Logloss
0	0.6888294322
1	0.6843928463
2	0.6798194676
3	0.6759291089
4	0.6714944901
5	0.6666677126
6	0.6629092405
7	0.6588082141
8	0.6546616065
9	0.6503470139
10	0.6467678424
11	0.6427298148
12	0.6391214279
13	0.6348669082
14	0.6319014893
15	0.6278885443
16	0.6249424964
17	0.6225449949
18	0.6195325745
19	0.6169929551
20	0.6143132468
21	0.6110561805
22	0.6077331997
23	0.6047436969
24	0.6016424863
25	0.5990057914
26	0.5961820788
27	0.592801372
28	0.5899368771
29	0.5870946266
30	0.5841041606
31	0.5814722328
32	0.5783246286
33	0.5754313455
34	0.5729920273
35	0.5703279837
36	0.5673882289
37	0.5652999124
38	0.5627370756
39	0.5604724194
40	0.5582243059
41	0.5558457032
42	0.553295798
43	0.5507740132
44	0.5483533281
45	0.5460874944
46	0.5441186101
47	0.5419293929
48	0.5393750181
49	0.5370165131
50	0.5349018688
51	0.5329414409
52	0.5310248569
53	0.5293342284
54	0.5280500797
55	0.5265259624
56	0.5245408703
57	0.5229303082
58	0.5214383153
59	0.5196290215
60	0.5180878044
61	0.5159290038
62	0.5141435397
63	0.512858737
64	0.5115559213
65	0.5097569854
66	0.5086880791
67	0.5072226533
68	0.5057492461
69	0.5042741573
70	0.5025405075
71	0.5008264302
72	0.4994191358
73	0.4982918808
74	0.4967625579
75	0.4951225823
76	0.4936355782
77	0.4921909128
78	0.490574157
79	0.4893683089
80	0.4879483055
81	0.486317121
82	0.4849324937
83	0.4837443622
84	0.4828699379
85	0.4814861732
86	0.4800517801
87	0.4785218315
88	0.4773219029
89	0.4757999415
90	0.4746700967
91	0.4738894681
92	0.4727173813
93	0.4713349846
94	0.4701146459
95	0.4689637191
96	0.467477312
97	0.4665915678
98	0.4657898614
99	0.4646350082
100	0.4638642845
101	0.4627842459
102	0.4617750757
103	0.4605000328
104	0.459452466
105	0.4586574199
106	0.4576000368
107	0.4567063131
108	0.4556176601
109	0.4549354419
110	0.4539692688
111	0.453057688
112	0.4520433329
113	0.4511291404
114	0.4500681893
115	0.4493629832
116	0.4483827025
117	0.4470681242
118	0.446207854
119	0.4452434464
120	0.4444279041
121	0.4431721956
122	0.4422774786
123	0.4415923802
124	0.4409607231
125	0.4398625098
126	0.438979342
127	0.4382342378
128	0.4373233175
129	0.4367068297
130	0.4359522837
131	0.4352696241
132	0.4347652017
133	0.4338757785
134	0.433108199
135	0.4322767328
136	0.4314020236
137	0.4308234374
138	0.4302355903
139	0.4294685433
140	0.4284347839
141	0.4276681485
142	0.4270370734
143	0.4262549579
144	0.4254734179
145	0.4247815286
146	0.4240557316
147	0.4233755572
148	0.422483778
149	0.4217930822
150	0.4212999726
151	0.4203834171
152	0.4198057547
153	0.4189772778
154	0.4178848749
155	0.4172389749
156	0.4165688027
157	0.4157777366
158	0.4150218867
159	0.4143217863
160	0.4136166593
161	0.4130744248
162	0.4126237829
163	0.4118860582
164	0.411216513
165	0.4107130098
166	0.410157512
167	0.4095161725
168	0.4086032579
169	0.4081064947
170	0.4075447257
171	0.4068412669
172	0.4063209468
173	0.4057251014
174	0.4051181548
175	0.4046971902
176	0.404115359
177	0.4034806659
178	0.4028297566
179	0.4024673677
180	0.4019278906
181	0.4013930731
182	0.400803097
183	0.4003100957
184	0.399738958
185	0.3991930122
186	0.3988150961
187	0.397939969
188	0.3974030859
189	0.396863647
190	0.396427619
191	0.3958803292
192	0.3954087882
193	0.3949925939
194	0.394378668
195	0.3940296605
196	0.3934996783
197	0.3929478068
198	0.3925365861
199	0.3919321479
200	0.3912585575
201	0.3907617184
202	0.3904514621
203	0.390126686
204	0.3894757691
205	0.3890642012
206	0.3886318527
207	0.3883413112
208	0.3876462194
209	0.3873036377
210	0.3868747618
211	0.3864156771
212	0.3858044331
213	0.3851767448
214	0.3844409459
215	0.3838213598
216	0.3834779142
217	0.3829263207
218	0.3826278097
219	0.3821007661
220	0.3815933445
221	0.3809806975
222	0.3803342266
223	0.3799947786
224	0.3795114849
225	0.3791826521
226	0.3787240217
227	0.3784651723
228	0.3779096082
229	0.3775391875
230	0.3771340139
231	0.3768536455
232	0.3762745014
233	0.3757827521
234	0.3753462532
235	0.3747976076
236	0.374365332
237	0.3741188297
238	0.3734489096
239	0.3730157307
240	0.372589417
241	0.3723156752
242	0.3717845022
243	0.3713804891
244	0.3712108617
245	0.3708387698
246	0.3702542086
247	0.3699012582
248	0.3695202268
249	0.369124091
250	0.368850344
251	0.3685366496
252	0.368144272
253	0.3678143316
254	0.367304666
255	0.3670336492
256	0.3667213978
257	0.3663214311
258	0.3658559802
259	0.3656716174
260	0.365386613
261	0.3649816959
262	0.3647327522
263	0.3645177375
264	0.3642931461
265	0.363846827
266	0.3634593417
267	0.3631468291
268	0.3628949607
269	0.3622989021
270	0.3619276127
271	0.361523879
272	0.361170298
273	0.360574357
274	0.3600304101
275	0.3599191366
276	0.3597548927
277	0.3594341098
278	0.3592547257
279	0.3587900237
280	0.3585533529
281	0.3583340774
282	0.357940937
283	0.3576113512
284	0.357285098
285	0.3569179298
286	0.3564986858
287	0.3561643676
288	0.3559210669
289	0.3555242368
290	0.3551512815
291	0.3549096498
292	0.3545916246
293	0.3541695798
294	0.3538892591
295	0.353621349
296	0.3533070053
297	0.3531059075
298	0.3527355375
299	0.352458968
300	0.352060684
301	0.3516638298
302	0.3512435446
303	0.3509284068
304	0.3506248052
305	0.3502710513
306	0.3499701125
307	0.3495864161
308	0.3493077625
309	0.3489956244
310	0.3484968355
311	0.3480381928
312	0.3478099916
313	0.3474951807
314	0.3471321401
315	0.3469868309
316	0.3467418935
317	0.3463998951
318	0.3459799921
319	0.3454577642
320	0.3451695016
321	0.3448753501
322	0.344285271
323	0.3439966728
324	0.3436872
325	0.3434101887
326	0.3431519906
327	0.3428333849
328	0.3425381997
329	0.3421245621
330	0.3418285803
331	0.3415188559
332	0.3412224548
333	0.340908363
334	0.3404871375
335	0.3402109863
336	0.339609457
337	0.33911331
338	0.3385096107
339	0.337934869
340	0.3377003054
341	0.3373937734
342	0.3371261716
343	0.3368384442
344	0.3364542699
345	0.3361311762
346	0.3358778537
347	0.3356920763
348	0.3355155283
349	0.3351479546
350	0.3349124792
351	0.3346895538
352	0.3343826923
353	0.3340858121
354	0.3336209532
355	0.3333973516
356	0.3328652832
357	0.3325719857
358	0.3322485775
359	0.3320409247
360	0.3319014158
361	0.3315140069
362	0.3311177562
363	0.3307102017
364	0.3304558188
365	0.3301761009
366	0.3299448197
367	0.329603498
368	0.3295316578
369	0.329356031
370	0.3291185279
371	0.3288944425
372	0.3286845978
373	0.3283799166
374	0.3280612438
375	0.3278402724
376	0.3275212892
377	0.3273857581
378	0.3272171561
379	0.327040799
380	0.3267746017
381	0.3263952004
382	0.3261053233
383	0.3257894916
384	0.3255613409
385	0.3252925987
386	0.3250720933
387	0.3247201468
388	0.3246517131
389	0.3242306572
390	0.3240780922
