iter	Passed	Remaining
321	831	1750
322	833	1746
323	836	1744
324	838	1741
325	841	1739
326	844	1737
327	846	1734
328	849	1732
329	852	1730
330	854	1727
331	872	1754
332	875	1752
333	877	1749
334	880	1746
335	882	1744
336	885	1741
337	887	1738
338	890	1735
339	892	1733
340	895	1729
341	897	1726
342	900	1724
343	902	1721
344	905	1719
345	908	1716
346	910	1714
347	913	1710
348	916	1708
349	918	1705
350	921	1703
351	923	1700
352	925	1696
353	928	1693
354	930	1690
355	932	1686
356	934	1683
357	937	1680
358	939	1677
359	941	1674
360	944	1671
361	946	1667
362	948	1664
363	950	1661
364	953	1659
365	955	1655
366	958	1652
367	960	1649
368	962	1645
369	964	1641
370	966	1638
371	968	1635
372	970	1631
373	973	1628
374	975	1625
375	977	1622
376	979	1618
377	981	1615
378	984	1612
379	986	1609
380	988	1606
381	990	1602
382	992	1599
383	995	1596
384	997	1593
385	999	1590
386	1001	1587
387	1004	1584
388	1005	1579
389	1008	1576
390	1010	1573
391	1012	1570
392	1014	1567
393	1017	1564
394	1019	1561
395	1022	1559
396	1024	1556
397	1027	1553
398	1029	1551
399	1032	1549
400	1035	1547
401	1038	1544
402	1040	1541
403	1043	1539
404	1046	1537
405	1064	1557
406	1066	1554
407	1069	1551
408	1071	1548
409	1074	1546
410	1076	1543
411	1080	1541
412	1082	1538
413	1085	1535
414	1087	1533
415	1090	1531
416	1093	1528
417	1096	1526
418	1099	1523
419	1101	1521
420	1104	1518
421	1107	1516
422	1110	1514
423	1112	1511
424	1115	1509
425	1117	1506
426	1120	1503
427	1123	1501
428	1126	1499
429	1128	1496
430	1131	1493
431	1133	1490
432	1135	1487
433	1138	1484
434	1141	1482
435	1144	1480
436	1147	1477
437	1150	1475
438	1152	1473
439	1155	1470
440	1158	1468
441	1161	1465
442	1163	1463
443	1166	1460
444	1169	1458
445	1172	1455
446	1174	1453
447	1177	1451
448	1180	1448
449	1183	1446
450	1186	1444
451	1188	1440
452	1190	1437
453	1193	1435
454	1196	1432
455	1198	1430
456	1201	1427
457	1204	1424
458	1206	1422
459	1209	1419
460	1212	1417
461	1215	1415
462	1217	1412
463	1220	1410
464	1223	1407
465	1226	1405
466	1229	1402
467	1232	1400
468	1235	1398
469	1237	1396
470	1240	1393
471	1243	1390
472	1246	1388
473	1248	1385
474	1251	1382
475	1254	1380
476	1256	1378
477	1259	1375
478	1262	1373
479	1265	1370
480	1267	1367
481	1270	1365
482	1273	1362
483	1275	1360
484	1278	1357
485	1281	1355
486	1284	1353
487	1287	1350
488	1290	1348
489	1292	1345
490	1295	1343
491	1298	1340
492	1301	1338
493	1303	1335
494	1306	1332
495	1309	1330
496	1311	1327
497	1315	1325
498	1317	1323
499	1320	1320
500	1322	1317
501	1324	1314
502	1327	1311
503	1329	1308
504	1332	1306
505	1335	1303
506	1337	1300
507	1339	1297
508	1342	1295
509	1345	1292
510	1347	1289
511	1349	1286
512	1352	1283
513	1354	1280
514	1357	1278
515	1359	1275
516	1361	1272
517	1364	1269
518	1366	1266
519	1369	1263
520	1371	1261
521	1374	1258
522	1376	1255
523	1379	1252
524	1381	1249
525	1383	1246
526	1386	1244
527	1389	1241
528	1391	1238
529	1394	1236
530	1396	1233
531	1398	1230
532	1401	1227
533	1403	1225
534	1406	1222
535	1408	1219
536	1411	1216
537	1413	1214
538	1416	1211
539	1419	1209
540	1421	1206
541	1425	1204
542	1427	1201
543	1430	1199
544	1433	1196
545	1436	1194
546	1438	1191
547	1442	1189
548	1444	1186
549	1447	1184
550	1449	1181
551	1452	1178
552	1455	1176
553	1458	1173
554	1460	1171
555	1463	1168
556	1466	1166
557	1468	1163
558	1471	1160
559	1474	1158
560	1477	1155
561	1479	1153
562	1482	1150
563	1485	1148
564	1488	1145
565	1521	1166
566	1523	1163
567	1526	1160
568	1528	1158
569	1531	1155
570	1533	1152
571	1536	1149
572	1538	1146
573	1540	1143
574	1543	1140
575	1545	1137
576	1547	1134
577	1550	1131
578	1552	1128
579	1554	1126
580	1557	1123
581	1559	1120
582	1561	1117
583	1564	1114
584	1566	1111
585	1569	1108
586	1572	1106
587	1574	1103
588	1576	1100
589	1579	1097
590	1581	1094
591	1584	1091
592	1586	1088
593	1588	1086
594	1591	1083
595	1593	1080
596	1596	1077
597	1598	1074
598	1601	1071
599	1603	1068
600	1605	1066
601	1608	1063
602	1611	1060
603	1613	1058
604	1616	1055
605	1618	1052
606	1621	1049
607	1624	1047
608	1626	1044
609	1629	1041
610	1634	1040
611	1637	1038
612	1640	1035
613	1643	1033
614	1646	1030
615	1649	1028
616	1651	1025
617	1654	1022
618	1657	1020
619	1660	1017
620	1662	1014
621	1665	1012
622	1668	1009
623	1670	1006
624	1673	1003
625	1675	1001
626	1678	998
627	1681	995
628	1683	993
629	1686	990
630	1689	987
631	1691	985
632	1694	982
633	1697	979
634	1700	977
635	1702	974
636	1705	971
637	1708	969
638	1710	966
639	1713	963
640	1715	960
641	1718	958
642	1720	955
643	1723	952
644	1726	950
645	1728	947
646	1731	944
647	1733	941
648	1735	938
649	1738	936
650	1740	933
651	1743	930
652	1745	927
653	1748	924
654	1750	922
655	1752	919
656	1755	916
657	1757	913
658	1760	910
659	1762	907
660	1765	905
661	1767	902
662	1770	899
663	1772	897
664	1775	894
665	1777	891
666	1779	888
667	1782	886
668	1785	883
669	1788	880
670	1790	878
671	1793	875
672	1796	872
673	1799	870
674	1802	868
675	1805	865
676	1808	862
677	1811	860
678	1813	857
679	1816	854
680	1819	852
681	1822	849
682	1824	846
683	1827	844
684	1829	841
685	1832	838
686	1834	836
687	1837	833
688	1839	830
689	1842	827
690	1845	825
691	1848	822
692	1850	819
693	1853	817
694	1856	814
695	1858	811
696	1861	809
697	1864	806
698	1867	804
699	1870	801
700	1872	798
701	1875	795
702	1877	793
703	1880	790
704	1883	787
705	1885	785
706	1888	782
707	1891	779
708	1893	777
709	1896	774
710	1899	772
711	1901	769
712	1903	766
713	1906	763
714	1908	760
715	1910	757
716	1913	755
717	1916	752
718	1918	749
719	1920	747
720	1923	744
721	1925	741
722	1928	738
723	1930	736
724	1933	733
725	1935	730
726	1938	727
727	1941	725
728	1943	722
729	1946	719
730	1948	717
731	1950	714
732	1953	711
733	1955	708
734	1958	706
735	1960	703
736	1963	700
737	1965	697
738	1968	695
739	1970	692
740	1973	689
741	1975	687
742	1978	684
743	1980	681
744	1983	678
745	1985	676
746	1988	673
747	1990	670
748	1993	668
749	1995	665
750	1999	662
751	2001	660
752	2004	657
753	2007	654
754	2010	652
755	2012	649
756	2015	646
757	2018	644
758	2020	641
759	2024	639
760	2026	636
761	2029	633
762	2032	631
763	2034	628
764	2038	626
765	2041	623
766	2043	620
767	2046	618
768	2049	615
769	2051	612
770	2054	610
771	2057	607
772	2060	605
773	2062	602
774	2065	599
775	2068	596
776	2071	594
777	2073	591
778	2076	589
779	2079	586
780	2081	583
781	2084	581
782	2087	578
783	2090	575
784	2093	573
785	2095	570
786	2098	567
787	2100	565
788	2103	562
789	2105	559
790	2108	557
791	2110	554
792	2113	551
793	2115	548
794	2117	546
795	2134	547
796	2137	544
797	2139	541
798	2141	538
799	2144	536
800	2146	533
801	2148	530
802	2150	527
803	2153	524
804	2155	522
805	2157	519
806	2160	516
807	2162	513
808	2164	511
809	2167	508
810	2169	505
811	2172	502
812	2174	500
813	2176	497
814	2179	494
815	2181	491
816	2184	489
817	2186	486
818	2189	483
819	2192	481
820	2195	478
821	2198	476
822	2201	473
823	2203	470
824	2206	468
825	2209	465
826	2211	462
827	2214	460
828	2217	457
829	2220	454
830	2222	452
831	2225	449
832	2228	446
833	2230	444
834	2233	441
835	2236	438
836	2239	436
837	2242	433
838	2245	430
839	2247	428
840	2250	425
841	2253	422
842	2255	420
843	2258	417
844	2261	414
845	2264	412
846	2266	409
847	2269	406
848	2272	404
849	2275	401
850	2285	400
851	2287	397
852	2290	394
853	2292	391
854	2295	389
855	2297	386
856	2299	383
857	2302	381
858	2304	378
859	2307	375
860	2310	372
861	2312	370
862	2315	367
863	2318	364
864	2321	362
865	2323	359
866	2326	356
867	2328	354
868	2331	351
869	2333	348
870	2336	346
871	2339	343
872	2342	340
873	2344	338
874	2347	335
875	2350	332
876	2352	329
877	2355	327
878	2357	324
879	2360	321
880	2362	319
881	2365	316
882	2367	313
883	2370	311
884	2372	308
885	2375	305
886	2378	302
887	2380	300
888	2382	297
889	2385	294
890	2388	292
891	2391	289
892	2394	286
893	2397	284
894	2400	281
895	2403	278
896	2406	276
897	2409	273
898	2411	270
899	2414	268
900	2417	265
901	2420	262
902	2423	260
903	2426	257
904	2428	254
905	2431	252
906	2434	249
907	2437	246
908	2439	244
909	2442	241
910	2445	238
911	2448	236
912	2452	233
913	2455	231
914	2458	228
915	2461	225
916	2464	223
917	2467	220
918	2470	217
919	2472	215
920	2475	212
921	2477	209
922	2480	206
923	2483	204
924	2486	201
925	2488	198
926	2491	196
927	2493	193
928	2496	190
929	2499	188
930	2501	185
931	2504	182
932	2506	180
933	2509	177
934	2512	174
935	2515	171
936	2517	169
937	2520	166
938	2523	163
939	2525	161
940	2528	158
941	2531	155
942	2534	153
943	2536	150
944	2539	147
945	2541	145
946	2544	142
947	2546	139
948	2549	137
949	2552	134
950	2554	131
951	2557	128
952	2559	126
953	2562	123
954	2564	120
955	2567	118
956	2569	115
957	2572	112
958	2574	110
959	2577	107
960	2580	104
961	2583	102
962	2586	99
963	2588	96
964	2591	93
965	2594	91
966	2596	88
967	2599	85
968	2601	83
969	2604	80
970	2607	77
971	2609	75
972	2612	72
973	2615	69
974	2618	67
975	2620	64
976	2623	61
977	2626	59
978	2628	56
979	2631	53
980	2633	51
981	2636	48
982	2638	45
983	2641	42
984	2643	40
985	2646	37
986	2648	34
987	2650	32
988	2652	29
989	2655	26
990	2657	24
991	2660	21
992	2662	18
993	2665	16
994	2667	13
995	2669	10
996	2672	8
997	2674	5
998	2677	2
999	2679	0
